"Según el art. 35.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, los actos serán motivados:", "Con sucinta referencia de hechos y fundamentos de derecho.", "Con extensa referencia a los hechos.", "Con sucinta referencia a los fundamentos de derecho.", "Con extensa referencia de hechos y fundamentos de derecho.", "a", "El artículo 35.1 de la Ley 39/2015 establece que los actos administrativos deben ser motivados con una sucinta referencia de hechos y fundamentos de derecho."
"Según el art. 81.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, en el caso de reclamaciones en materia de responsabilidad patrimonial del Estado por el funcionamiento anormal de la Administración de Justicia, el plazo para dictar resolución:", "Podrá quedar suspendido por el tiempo que medie entre la solicitud del informe del Consejo General del Poder Judicial y su recepción, no pudiendo exceder dicho plazo de dos meses.", "Quedará suspendido por el tiempo que medie entre la solicitud del informe del Consejo General del Poder Judicial y su recepción, no pudiendo exceder dicho plazo de dos meses.", "Podrá quedar suspendido por el tiempo que medie entre la solicitud del informe del Consejo General del Poder Judicial y su recepción, no pudiendo exceder dicho plazo de un mes.", "Quedará suspendido por el tiempo que medie entre la solicitud del informe del Consejo General del Poder Judicial y su recepción, no pudiendo exceder dicho plazo de un mes.", "b", "El artículo 81.3 de la Ley 39/2015 establece que, en el caso de reclamaciones en materia de responsabilidad patrimonial del Estado por el funcionamiento anormal de la Administración de Justicia, el plazo para dictar resolución quedará suspendido por el tiempo que medie entre la solicitud del informe del Consejo General del Poder Judicial y su recepción, no pudiendo exceder dicho plazo de dos meses."
"Según el art. 81.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, en el caso de reclamaciones en materia de responsabilidad patrimonial del Estado por el funcionamiento anormal de la Administración de Justicia:", "Será preceptivo el informe del Consejo General del Poder Judicial que será evacuado en el plazo máximo de dos meses.", "Será preceptivo el informe del Consejo General del Poder Judicial que será evacuado en el plazo máximo de un mes.", "Será preceptivo y vinculante el informe del Consejo General del Poder Judicial que será evacuado en el plazo máximo de dos meses.", "Será preceptivo y vinculante el informe del Consejo General del Poder Judicial que será evacuado en el plazo máximo de un mes.", "a", "El artículo 81.3 de la Ley 39/2015 establece que, en el caso de reclamaciones en materia de responsabilidad patrimonial del Estado por el funcionamiento anormal de la Administración de Justicia, será preceptivo el informe del Consejo General del Poder Judicial que será evacuado en el plazo máximo de dos meses."
"Según el art. 82.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el trámite de audiencia será:", "Posterior a la solicitud del informe del órgano competente para el asesoramiento jurídico.", "Anterior a la fase de prueba.", "Anterior a la solicitud del informe del órgano competente para el asesoramiento jurídico.", "Anterior a la fase de información pública.", "a", "El artículo 82.1 de la Ley 39/2015 establece que el trámite de audiencia será posterior a la solicitud del informe del órgano competente para el asesoramiento jurídico."
"Según el art. 82.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, si antes del vencimiento del plazo de audiencia los interesados manifiestan su decisión de no efectuar alegaciones ni aportar nuevos documentos o justificaciones:", "No se tendrá por realizado el trámite.", "Se entenderá que el interesado desiste del procedimiento.", "Se interrumpirá el plazo para resolver.", "Se tendrá por realizado el trámite.", "d", "El artículo 82.3 de la Ley 39/2015 establece que si antes del vencimiento del plazo de audiencia los interesados manifiestan su decisión de no efectuar alegaciones ni aportar nuevos documentos o justificaciones, se tendrá por realizado el trámite."
"Según el art. 82.4 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿cuándo se podrá prescindir del trámite de audiencia?", "Cuando la Administración no tenga por ciertos los hechos alegados por los interesados o la naturaleza del procedimiento lo exija.", "Cuando lo requiera la naturaleza del procedimiento.", "Cuando no figuren en el procedimiento ni sean tenidos en cuenta en la resolución otros hechos ni otras alegaciones y pruebas que las aducidas por el interesado.", "Cuando los interesados en el procedimiento sean desconocidos o se ignore el lugar de la notificación.", "c", "El artículo 82.4 de la Ley 39/2015 establece que se podrá prescindir del trámite de audiencia cuando no figuren en el procedimiento ni sean tenidos en cuenta en la resolución otros hechos ni otras alegaciones y pruebas que las aducidas por el interesado."
"Según el art. 83.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, se podrá acordar un período de información pública:", "Cuando no figuren en el procedimiento ni sean tenidos en cuenta en la resolución otros hechos ni otras alegaciones y pruebas que las aducidas por el interesado.", "Cuando la naturaleza del procedimiento lo requiera.", "Cuando la Administración no tenga por ciertos los hechos alegados por los interesados o la naturaleza del procedimiento lo exija.", "Cuando hubiera otros interesados en el procedimiento, a fin de que aleguen cuanto estimen procedente.", "b", "El artículo 83.1 de la Ley 39/2015 establece que se podrá acordar un período de información pública cuando la naturaleza del procedimiento lo requiera."
"Según el art. 83.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, la incomparecencia en el trámite de información pública:", "Impedirá a los interesados interponer los recursos procedentes contra la resolución definitiva del procedimiento.", "Implicará la pérdida de la condición de interesado.", "No impedirá a los interesados interponer los recursos procedentes contra la resolución definitiva del procedimiento.", "Implicará la renuncia del interesado a su pretensión en el procedimiento.", "c", "El artículo 83.3 de la Ley 39/2015 establece que la incomparecencia en el trámite de información pública no impedirá a los interesados interponer los recursos procedentes contra la resolución definitiva del procedimiento."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 83.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo al trámite de información pública:", "La duración de este trámite no será inferior a diez días ni superior a quince.", "Quienes presenten alegaciones u observaciones en este trámite tienen derecho a obtener de la Administración una respuesta razonada.", "El plazo para presentar alegaciones será de treinta días.", "Quienes presenten alegaciones u observaciones tendrán la condición de interesados en el procedimiento.", "b", "El artículo 83.3 de la Ley 39/2015 establece que quienes presenten alegaciones u observaciones en el trámite de información pública tienen derecho a obtener de la Administración una respuesta razonada."
"Según el art. 84.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, son formas de terminación del procedimiento:", "La resolución, el desistimiento, la prescripción, y la declaración de caducidad.", "La resolución, el desistimiento, la renuncia y la declaración de caducidad.", "La resolución, el allanamiento, la renuncia y la declaración de caducidad.", "La resolución, el desistimiento, el allanamiento, la renuncia y la declaración de caducidad.", "d", "El artículo 84.1 de la Ley 39/2015 establece que las formas de terminación del procedimiento son la resolución, el desistimiento, el allanamiento, la renuncia y la declaración de caducidad."
"Según el art. 85.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, las reducciones en el importe de la sanción por reconocimiento de la responsabilidad y por pago voluntario anterior a la resolución:", "Serán de al menos el 20 %, siendo éstos acumulables entre sí.", "Serán como máximo del 20%, siendo éstos acumulables entre sí.", "Serán de al menos el 20 %, no siendo éstos acumulables entre sí.", "Serán como máximo del 20%, no siendo éstos acumulables entre sí.", "a", "El artículo 85.3 de la Ley 39/2015 establece que las reducciones en el importe de la sanción por reconocimiento de la responsabilidad y por pago voluntario anterior a la resolución serán de al menos el 20 %, siendo éstos acumulables entre sí."
"El porcentaje de reducción de la sanción previsto en el art. 85.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "Solamente podrá ser incrementado mediante una ley sectorial específica.", "No podrá ser incrementado.", "Podrá ser incrementado reglamentariamente.", "No podrá ser incrementado reglamentariamente.", "a", "El artículo 85.3 de la Ley 39/2015 establece que el porcentaje de reducción de la sanción solamente podrá ser incrementado mediante una ley sectorial específica."
"Según el art. 86.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, los pactos y los acuerdos que suscriban las Administraciones Públicas:", "Deberán establecer las partes intervinientes, el ámbito personal, funcional y territorial, y el plazo de vigencia.", "Deberán publicarse en el boletín oficial que corresponda.", "Requerirán la aprobación del Consejo de Gobierno cuando supongan una alteración de las competencias atribuidas a otras Administraciones Públicas.", "Todas las respuestas son correctas.", "d", "El artículo 86.2 de la Ley 39/2015 establece que los pactos y los acuerdos que suscriban las Administraciones Públicas deberán establecer las partes intervinientes, el ámbito personal, funcional y territorial, y el plazo de vigencia, deberán publicarse en el boletín oficial que corresponda, y requerirán la aprobación del Consejo de Gobierno cuando supongan una alteración de las competencias atribuidas a otras Administraciones Públicas."
"Según el art. 87 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿en qué plazo deben practicarse las actuaciones complementarias?", "En un plazo no inferior a diez días ni superior a quince.", "En un plazo no superior a diez días.", "En un plazo no inferior a quince días.", "En un plazo no superior a quince días.", "d", "El artículo 87 de la Ley 39/2015 establece que las actuaciones complementarias deben practicarse en un plazo no superior a quince días."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 87 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo a la práctica de actuaciones complementarias:", "Los informes que preceden inmediatamente a la resolución final tendrán la consideración de actuaciones complementarias.", "Se concederá un plazo no inferior a siete días para formular alegaciones.", "Las actuaciones complementarias deberán practicarse en un plazo de siete días.", "El plazo para resolver el procedimiento quedará suspendido hasta la terminación de las actuaciones complementarias.", "d", "El artículo 87 de la Ley 39/2015 establece que el plazo para resolver el procedimiento quedará suspendido hasta la terminación de las actuaciones complementarias."
"Según el art. 87 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, las actuaciones complementarias serán acordadas:", "Por el órgano competente para resolver.", "Por el instructor del procedimiento.", "Por el órgano competente para dictar la resolución de inicio.", "Por el órgano instructor o el órgano competente para resolver.", "a", "El artículo 87 de la Ley 39/2015 establece que las actuaciones complementarias serán acordadas por el órgano competente para resolver."
"Según el art. 88.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, cuando haya cuestiones conexas que no hubieran sido planteadas por los interesados:", "El órgano competente podrá pronunciarse sobre estas cuestiones, poniéndolo antes de manifiesto a los interesados por un plazo no superior a quince días.", "El órgano competente podrá pronunciarse sobre estas cuestiones, y debe conceder un plazo de siete días a los interesados para formular las alegaciones que tengan por pertinentes.", "El órgano competente podrá pronunciarse sobre estas cuestiones, poniéndolo antes de manifiesto a los interesados por un plazo no inferior a quince días.", "El órgano instructor podrá pronunciarse sobre estas cuestiones, poniéndolo antes de manifiesto a los interesados por un plazo no superior a diez días.", "a", "El artículo 88.1 de la Ley 39/2015 establece que cuando haya cuestiones conexas que no hubieran sido planteadas por los interesados, el órgano competente podrá pronunciarse sobre estas cuestiones, poniéndolo antes de manifiesto a los interesados por un plazo no superior a quince días."
"Según el art. 88.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, las resoluciones:", "Contendrán la decisión, que será motivada en los casos a que se refiere el artículo 35.", "Contendrán la decisión, que podrá ser motivada en los casos a que se refiere el artículo 37.", "Podrán contener la decisión, que será motivada en los casos a que se refiere el artículo 35.", "Podrán contener la decisión, que podrá ser motivada en los casos a que se refiere el artículo 37.", "a", "El artículo 88.3 de la Ley 39/2015 establece que las resoluciones contendrán la decisión, que será motivada en los casos a que se refiere el artículo 35."
"Según el art. 89.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿en cuál de los siguientes supuestos el órgano instructor debe resolver la finalización del procedimiento sancionador con el archivo de las actuaciones?", "Cuando los hechos constituyan una infracción manifiesta.", "Cuando se concluya que ha caducado la infracción.", "Cuando los hechos no resulten acreditados.", "Cuando el instructor no tenga por ciertos los hechos alegados por los interesados.", "c", "El artículo 89.1 de la Ley 39/2015 establece que el órgano instructor debe resolver la finalización del procedimiento sancionador con el archivo de las actuaciones cuando los hechos no resulten acreditados."
"Según el art. 89.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿qué órgano debe formular la propuesta de resolución en los procedimientos de carácter sancionador?", "El órgano competente para dictar la resolución de inicio.", "El órgano instructor.", "El órgano competente para resolver.", "El órgano competente para resolver a propuesta del instructor.", "b", "El artículo 89.2 de la Ley 39/2015 establece que el órgano instructor debe formular la propuesta de resolución en los procedimientos de carácter sancionador."
"Según el art. 90.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, cuando el órgano competente para resolver considere que la infracción o la sanción revisten mayor gravedad que la determinada en la propuesta de resolución, se notificará al inculpado para que aporte cuantas alegaciones estime convenientes:", "En un plazo no inferior a quince días.", "En un plazo no superior a diez días.", "En el plazo de quince días.", "En un plazo no inferior a diez días ni superior a quince.", "c", "El artículo 90.2 de la Ley 39/2015 establece que cuando el órgano competente para resolver considere que la infracción o la sanción revisten mayor gravedad que la determinada en la propuesta de resolución, se notificará al inculpado para que aporte cuantas alegaciones estime convenientes en el plazo de quince días."
"Según el art. 90.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, cuando la resolución que ponga fin a los procedimientos de carácter sancionador sea ejecutiva:", "Se podrá suspender cautelarmente, si el interesado manifiesta a la Administración su intención de interponer recurso contencioso-administrativo contra la resolución firme en vía administrativa.", "Se suspenderá cautelarmente, si el interesado manifiesta a la Administración su intención de interponer recurso ordinario en vía administrativa.", "Se suspenderá cautelarmente, si el interesado manifiesta a la Administración su intención de interponer recurso contencioso-administrativo contra la resolución definitiva en vía administrativa.", "Se podrá suspender cautelarmente, si el interesado manifiesta a la Administración su intención de interponer recurso ordinario en vía administrativa.", "a", "El artículo 90.3 de la Ley 39/2015 establece que cuando la resolución que ponga fin a los procedimientos de carácter sancionador sea ejecutiva, se podrá suspender cautelarmente, si el interesado manifiesta a la Administración su intención de interponer recurso contencioso-administrativo contra la resolución firme en vía administrativa."
"Según el art. 90.4 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, cuando las conductas sancionadas hubieran causado daños o perjuicios a las Administraciones y la cuantía destinada a indemnizar estos daños no hubiera quedado determinada en el expediente:", "Se fijará mediante un nuevo procedimiento contradictorio, cuya resolución no será firme en vía administrativa.", "Se retrotraerá el procedimiento a la fase de instrucción a fin de que el órgano instructor cuantifique los daños o perjuicios.", "Se podrá fijar mediante un procedimiento complementario, cuya resolución será firme en vía administrativa.", "Se fijará mediante un procedimiento complementario, cuya resolución será inmediatamente ejecutiva.", "c", "El artículo 90.4 de la Ley 39/2015 establece que cuando las conductas sancionadas hubieran causado daños o perjuicios a las Administraciones y la cuantía destinada a indemnizar estos daños no hubiera quedado determinada en el expediente, se fijará mediante un procedimiento complementario, cuya resolución será inmediatamente ejecutiva. Este procedimiento será susceptible de terminación convencional, pero ni ésta ni la aceptación por el infractor de la resolución que pudiera recaer implicarán el reconocimiento voluntario de su responsabilidad. La resolución del procedimiento pondrá fin a la vía administrativa."
"Según el art. 91.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el procedimiento de responsabilidad patrimonial podrá finalizar:", "Por resolución administrativa.", "Por resolución administrativa o mediante acuerdo entre la Administración y el interesado.", "Por resolución administrativa o por silencio positivo.", "Por resolución administrativa, por silencio positivo, o mediante acuerdo entre la Administración y el interesado.", "b", "El artículo 91.1 de la Ley 39/2015 establece que el procedimiento de responsabilidad patrimonial podrá finalizar por resolución administrativa o mediante acuerdo entre la Administración y el interesado."
"Según el art. 91.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, cuando la Administración no cumpla la obligación de resolver y notificar el procedimiento de responsabilidad patrimonial en el plazo de seis meses:", "Se producirá la caducidad del procedimiento.", "Podrá entenderse que la resolución es contraria a la indemnización del particular.", "La solicitud podrá entenderse estimada por silencio administrativo.", "La indemnización se fijará mediante un procedimiento complementario, cuya resolución será firme en vía administrativa.", "c", "El artículo 91.3 de la Ley 39/2015 establece que cuando la Administración no cumpla la obligación de resolver y notificar el procedimiento de responsabilidad patrimonial en el plazo de seis meses, la solicitud podrá entenderse estimada por silencio administrativo."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 94.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "En los procedimientos iniciados a instancia de parte, la Administración podrá desistir motivadamente.", "En los procedimientos iniciados de oficio, los interesados podrán desistir y renunciar a sus derechos.", "En los procedimientos iniciados a instancia de parte, los interesados podrán desistir de su solicitud.", "En los procedimientos iniciados de oficio y a instancia de parte, la Administración podrá desistir motivadamente.", "c", "El artículo 94.1 de la Ley 39/2015 establece que en los procedimientos iniciados a instancia de parte, los interesados podrán desistir de su solicitud."
"Según el art. 94.4 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿de qué plazo disponen los terceros interesados para instar la continuación del procedimiento en caso de desistimiento o renuncia?", "Siete días.", "Diez días.", "Quince días.", "Un plazo no inferior a quince días.", "b", "El artículo 94.4 de la Ley 39/2015 establece que los terceros interesados disponen de un plazo de diez días para instar la continuación del procedimiento en caso de desistimiento o renuncia."
"Según el art. 94.5 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, si la cuestión suscitada por la incoación del procedimiento entrañase interés general o fuera conveniente sustanciarla para su definición y esclarecimiento:", "La Administración podrá limitar los efectos del desistimiento o la renuncia al interesado y seguirá el procedimiento.", "La Administración podrá limitar los efectos del desistimiento al interesado y seguirá el procedimiento.", "La Administración no podrá limitar los efectos del desistimiento o la renuncia.", "La Administración deberá limitar los efectos de la renuncia al interesado y seguirá el procedimiento.", "a", "El artículo 94.5 de la Ley 39/2015 establece que si la cuestión suscitada por la incoación del procedimiento entrañase interés general o fuera conveniente sustanciarla para su definición y esclarecimiento, la Administración podrá limitar los efectos del desistimiento o la renuncia al interesado y seguirá el procedimiento."
"Según el art. 95.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, contra la resolución que declare la caducidad:", "Procederán los recursos pertinentes.", "No se podrá interponer ningún recurso, si bien podrá notificarse a los interesados a los meros efectos informativos.", "Se podrán presentar alegaciones en un plazo no inferior a diez días ni superior a quince.", "Los interesados podrán manifestar su oposición cuando la resolución sea firme en vía administrativa.", "a", "El artículo 95.1 de la Ley 39/2015 establece que contra la resolución que declare la caducidad procederán los recursos pertinentes."
"Según el art. 95.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, en los procedimientos iniciados a solicitud del interesado, cuando se produzca su paralización por causa imputable al mismo:", "La Administración le podrá advertir que, transcurridos tres meses, se producirá la caducidad del procedimiento.", "La Administración le advertirá que, transcurridos seis meses, se producirá la caducidad del procedimiento.", "La Administración le podrá advertir que, transcurridos seis meses, se producirá la caducidad del procedimiento.", "La Administración le advertirá que, transcurridos tres meses, se producirá la caducidad del procedimiento.", "b", "El artículo 95.1 de la Ley 39/2015 establece que en los procedimientos iniciados a solicitud del interesado, cuando se produzca su paralización por causa imputable al mismo, la Administración le advertirá que, transcurridos seis meses, se producirá la caducidad del procedimiento."
"Según el art. 95.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "La prescripción no producirá por sí sola la caducidad de las acciones del particular o de la Administración.", "La caducidad producirá la prescripción de las acciones del particular o de la Administración.", "La prescripción producirá la caducidad de las acciones del particular o de la Administración.", "La caducidad no producirá por sí sola la prescripción de las acciones del particular o de la Administración.", "d", "El artículo 95.3 de la Ley 39/2015 establece que la caducidad no producirá por sí sola la prescripción de las acciones del particular o de la Administración."
"Según el art. 96.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, cuando se haya iniciado la tramitación simplificada del procedimiento, el órgano competente podrá continuar con arreglo a la tramitación ordinaria en cualquier momento del procedimiento:", "Anterior a su resolución.", "Anterior al trámite de audiencia.", "Anterior al trámite de información pública.", "Anterior al período de prueba.", "a", "El artículo 96.1 de la Ley 39/2015 establece que cuando se haya iniciado la tramitación simplificada del procedimiento, el órgano competente podrá continuar con arreglo a la tramitación ordinaria en cualquier momento del procedimiento anterior a su resolución."
"Según el art. 96.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, la Administración deberá seguir la tramitación ordinaria:", "Cuando alguno de los interesados manifieste su conformidad a la tramitación simplificada.", "Cuando la mayoría de los interesados manifieste su oposición expresa a la tramitación simplificada.", "Cuando alguno de los interesados manifieste su oposición expresa a la tramitación simplificada.", "Cuando todos los interesados manifiesten su oposición expresa a la tramitación simplificada.", "c", "El artículo 96.2 de la Ley 39/2015 establece que la Administración deberá seguir la tramitación ordinaria cuando alguno de los interesados manifieste su oposición expresa a la tramitación simplificada."
"Según el art. 96.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, cuando los interesados soliciten la tramitación simplificada del procedimiento, el órgano competente:", "Podrá desestimar dicha solicitud, en el plazo de cinco días desde su presentación, sin que exista posibilidad de recurso por parte del interesado.", "Deberá estimar dicha solicitud en el plazo de cinco días desde su presentación.", "Podrá desestimar dicha solicitud, en el plazo de cinco días desde su presentación, mediante resolución motivada, que será susceptible de recurso.", "Deberá desestimar dicha solicitud, en el plazo de diez días desde su presentación, sin que exista posibilidad de recurso por parte del interesado.", "c", "El artículo 96.3 de la Ley 39/2015 establece que cuando los interesados soliciten la tramitación simplificada del procedimiento, el órgano competente podrá desestimar dicha solicitud, en el plazo de cinco días desde su presentación, mediante resolución motivada, que será susceptible de recurso."
"Según el art. 96.5 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, cuando el órgano competente considere que hay elementos de juicio suficientes para calificar una infracción como leve:", "Podrá adoptar la tramitación simplificada del procedimiento, sin que quepa oposición expresa por parte del interesado.", "Deberá adoptar la tramitación simplificada del procedimiento, sin que quepa oposición expresa por parte del interesado.", "Podrá adoptar la tramitación simplificada del procedimiento, salvo que alguno de los interesados manifieste su oposición expresa.", "Deberá adoptar la tramitación simplificada del procedimiento, salvo que alguno de los interesados manifieste su oposición expresa.", "c", "El artículo 96.5 de la Ley 39/2015 establece que cuando el órgano competente considere que hay elementos de juicio suficientes para calificar una infracción como leve, podrá adoptar la tramitación simplificada del procedimiento, salvo que alguno de los interesados manifieste su oposición expresa."
"Según el art. 96.6 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, en los procedimientos de tramitación simplificada el dictamen del Consejo de Estado:", "Deberá ser emitido en el plazo de diez días.", "Deberá ser emitido en el plazo de quince días.", "Deberá ser emitido en el plazo de un mes.", "Podrá ser emitido en el plazo de quince días si así lo solicita el órgano competente.", "b", "El artículo 96.6 de la Ley 39/2015 establece que en los procedimientos de tramitación simplificada el dictamen del Consejo de Estado deberá ser emitido en el plazo de quince días."
"Según el art. 98.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, los actos de las Administraciones Públicas sujetos al Derecho Administrativo serán inmediatamente ejecutivos:", "Salvo que se trate de un procedimiento de responsabilidad patrimonial.", "Aunque se trate de un procedimiento de tramitación simplificada.", "Salvo que se produzca la suspensión de la ejecución del acto.", "Aunque se produzca la suspensión de la ejecución del acto.", "c", "El artículo 98.1 de la Ley 39/2015 establece que los actos de las Administraciones Públicas sujetos al Derecho Administrativo serán inmediatamente ejecutivos, salvo que se produzca la suspensión de la ejecución del acto."
"Según el art. 99 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, las Administraciones Públicas pueden proceder a la ejecución forzosa de los actos administrativos:", "A través de sus órganos competentes, salvo que la Constitución o la Ley exijan la intervención de un órgano judicial.", "A través de sus órganos, con la autorización previa del órgano judicial competente.", "A través del órgano judicial competente, con la autorización previa del Consejo de Ministros o del órgano equivalente de las comunidades autónomas.", "A través del órgano judicial competente.", "a", "El artículo 99 de la Ley 39/2015 establece que las Administraciones Públicas pueden proceder a la ejecución forzosa de los actos administrativos a través de sus órganos competentes, salvo que la Constitución o la Ley exijan la intervención de un órgano judicial."
"Según el art. 100.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, las Administraciones Públicas pueden entrar en el domicilio del afectado sin autorización judicial:", "Con el consentimiento del afectado.", "Cuando así lo disponga una resolución administrativa.", "Con el informe previo y vinculante del Consejo de Estado o del órgano consultivo autonómico.", "Cuando el afectado manifieste su consentimiento en un proceso judicial.", "a", "El artículo 100.3 de la Ley 39/2015 establece que las Administraciones Públicas pueden entrar en el domicilio del afectado sin autorización judicial con el consentimiento del afectado."
"Según el art. 101.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, se seguirá el procedimiento de apremio:", "Cuando en virtud de acto administrativo hubiera de satisfacerse cantidad líquida.", "Cuando los actos administrativos impongan una obligación personalísima de no hacer o soportar.", "Cuando se trate de actos que por no ser personalísimos puedan ser realizados por sujeto distinto del obligado.", "Cuando en virtud de acto administrativo hubiera de satisfacerse cantidad líquida y se cuente con la oportuna autorización judicial.", "a", "El artículo 101.1 de la Ley 39/2015 establece que se seguirá el procedimiento de apremio cuando en virtud de acto administrativo hubiera de satisfacerse cantidad líquida."
"Según el art. 101.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "No podrá imponerse a los administrados una obligación pecuniaria sin autorización judicial.", "No podrá imponerse a los administrados una obligación pecuniaria que no estuviese establecida con arreglo a una norma de rango legal.", "Se podrá imponer a los administrados una obligación pecuniaria que no esté prohibida mediante una norma de rango legal.", "Se podrá imponer a los administrados una obligación pecuniaria que esté establecida mediante una norma de rango legal o reglamentario.", "b", "El artículo 101.2 de la Ley 39/2015 establece que no podrá imponerse a los administrados una obligación pecuniaria que no estuviese establecida con arreglo a una norma de rango legal."
"Según el art. 102.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, habrá lugar a la ejecución subsidiaria:", "Cuando los actos administrativos impongan una obligación personalísima de no hacer o soportar.", "Cuando se trate de actos que por no ser personalísimos puedan ser realizados por sujeto distinto del obligado.", "Cuando en virtud de acto administrativo hubiera de satisfacerse cantidad líquida.", "Cuando se trate de actos que por no ser personalísimos puedan ser realizados por sujeto distinto del obligado y se disponga de la correspondiente autorización judicial.", "b", "El artículo 102.1 de la Ley 39/2015 establece que habrá lugar a la ejecución subsidiaria cuando se trate de actos que por no ser personalísimos puedan ser realizados por sujeto distinto del obligado."
"¿En cuál de los supuestos siguientes puede imponerse la multa coercitiva según el art. 103.1, letra b), de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas?", "Cuando el acto carezca de los requisitos formales indispensables para alcanzar su fin o dé lugar a la indefensión de los interesados", "En los actos que impongan una obligación personalísima de no hacer o soportar.", "Cuando las indemnizaciones reclamadas sean de cuantía igual o superior a 50.000 euros.", "En los actos en que, procediendo la compulsión, la Administración no la estimara conveniente.", "b", "Según el artículo 103.1.b) de la Ley 39/2015, la multa coercitiva puede imponerse en los actos que impongan una obligación personalísima de no hacer o soportar."
"Según el art. 104.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, cuando se imponga una obligación personalísima de hacer y el obligado no realice la prestación:", "El obligado deberá resarcir los daños y perjuicios, a cuya liquidación y cobro se procederá en vía administrativa.", "Habrá lugar a la ejecución subsidiaria del acto en vía administrativa.", "Se liquidarán los daños y perjuicios de forma provisional, a reserva de la liquidación definitiva.", "Se aplicarán los medios de ejecución forzosa respetando el principio de proporcionalidad.", "b", "El artículo 104.2 de la Ley 39/2015 establece que, en caso de incumplimiento de una obligación personalísima de hacer, se procederá a la ejecución subsidiaria del acto en vía administrativa."
