"Indique la respuesta correcta en relación con los convenios. Según el artículo 47.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público:","No pueden ser formalizados con sujetos de derecho privado.","No pueden tener efectos jurídicos frente a terceros.","Pueden tener prestaciones propias de los contratos.","No pueden tener prestaciones propias de los contratos.","c","El artículo 47.1 de la Ley 40/2015 establece que los convenios pueden incluir prestaciones propias de los contratos, siempre que se ajusten a la normativa aplicable."
"Según el art. 32.7 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, la responsabilidad patrimonial del Estado por el funcionamiento de la Administración de Justicia se regirá por:","La Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público.","La Ley 1/2000, de 7 de enero, de Enjuiciamiento Civil.","La Ley Orgánica 6/1985, de 1 de julio, del Poder Judicial.","La Ley Orgánica 6/1985, de 1 de julio, del Poder Judicial y la Ley 1/2000, de 7 de enero, de Enjuiciamiento Civil.","c","El artículo 32.7 establece que la responsabilidad patrimonial del Estado por el funcionamiento de la Administración de Justicia se regirá por la Ley Orgánica 6/1985, de 1 de julio, del Poder Judicial."
"Según el art. 32.8 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, cuando el Tribunal Constitucional haya declarado, a instancia de parte interesada, la existencia de un funcionamiento anormal en la tramitación de los recursos de amparo o de las cuestiones de inconstitucionalidad:","El Consejo de Ministros fijará el importe de las indemnizaciones que proceda abonar.","El Consejo de Ministros o el órgano de gobierno de la Comunidad Autónoma fijará el importe de las indemnizaciones que proceda abonar.","La sentencia fijará el importe de las indemnizaciones que proceda abonar.","La sentencia fijará el importe de las indemnizaciones que proceda abonar, con el informe previo del Consejo de Estado.","a","El artículo 32.8 establece que, en estos casos, el Consejo de Ministros fijará el importe de las indemnizaciones que proceda abonar."
"Según el art. 32.9 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, ¿en cuál de los siguientes supuestos habrá responsabilidad de las Administraciones Públicas por los daños y perjuicios causados a terceros durante la ejecución de contratos?","Cuando sean consecuencia de una orden inmediata y directa del contratista.","Cuando sean consecuencia de una orden inmediata y directa de la Administración.","Cuando sean consecuencia de los vicios del proyecto elaborado por el contratista.","Todas las respuestas son correctas.","b","El artículo 32.9 establece que habrá responsabilidad de las Administraciones Públicas cuando los daños sean consecuencia de una orden inmediata y directa de la Administración."
"Según el art. 33.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, cuando de la gestión dimanante de fórmulas conjuntas de actuación entre varias Administraciones públicas se derive responsabilidad en los términos previstos en la presente Ley, las Administraciones intervinientes responderán frente al particular:","En todo caso, de forma solidaria.","De forma mancomunada, salvo que en los acuerdos se establezca la responsabilidad solidaria.","En todo caso, de forma mancomunada.","De forma mancomunada, salvo que en los acuerdos se establezca un régimen distinto.","b","El artículo 33.1 establece que las Administraciones intervinientes responderán de forma mancomunada, salvo que en los acuerdos se establezca la responsabilidad solidaria."
"Según el art. 34.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, solo serán indemnizables las lesiones producidas al particular provenientes de daños:","Que éste no tenga el deber jurídico de soportar.","Que éste no tenga el deber jurídico de soportar de acuerdo con la Ley.","Que éste tenga el deber jurídico de soportar de acuerdo con la Ley.","Que éste tenga el deber jurídico de soportar.","b","El artículo 34.1 establece que solo serán indemnizables las lesiones producidas por daños que el particular no tenga el deber jurídico de soportar de acuerdo con la Ley."
"¿Qué daños no son indemnizables según el art. 34.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público?","Los que sean consecuencia del funcionamiento normal de los servicios públicos.","Los que se deriven de hechos o circunstancias que no se hubiesen podido prever o evitar según el estado de los conocimientos de la ciencia o de la técnica existentes en el momento de producción de aquéllos.","Los causados por una norma con rango de ley.","Las respuestas a) y b) son correctas.","d","El artículo 34.1 establece que no son indemnizables los daños que sean consecuencia del funcionamiento normal de los servicios públicos y los que no se hubiesen podido prever o evitar según el estado de los conocimientos de la ciencia o de la técnica."
"Según el art. 34.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, en los casos de responsabilidad patrimonial que sean consecuencia de la aplicación de una norma con rango de ley declarada inconstitucional, serán indemnizables los daños producidos en el plazo de los cinco años anteriores:","A la fecha de la notificación de la sentencia.","A la fecha de la notificación de la sentencia, salvo que la sentencia disponga otra cosa.","A la fecha de la publicación de la sentencia.","A la fecha de la publicación de la sentencia, salvo que la sentencia disponga otra cosa.","b","El artículo 34.1 establece que los daños serán indemnizables en el plazo de los cinco años anteriores a la fecha de la notificación de la sentencia, salvo que la sentencia disponga otra cosa."
"Según el art. 34.2 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, para calcular la indemnización en los casos de muerte o lesiones corporales:","Se podrá tomar como referencia la valoración incluida en los baremos de la normativa vigente en materia de Seguros obligatorios y de la Seguridad Social.","Se tomará como referencia la valoración incluida en los baremos de la normativa vigente en materia de Seguros obligatorios y de la Seguridad Social.","Se podrá tomar como referencia la valoración incluida en los baremos de la Ley sobre responsabilidad civil y seguro en la circulación de vehículos a motor.","Se tomará como referencia la valoración incluida en los baremos de la Ley sobre responsabilidad civil y seguro en la circulación de vehículos a motor.","a","El artículo 34.2 establece que se podrá tomar como referencia la valoración incluida en los baremos de la normativa vigente en materia de Seguros obligatorios y de la Seguridad Social."
"Según el art. 34.3 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, en los procedimientos de responsabilidad patrimonial la cuantía de la indemnización se actualizará:","En la fecha en que se inicie el procedimiento con arreglo al Índice de Precios al Consumo.","En la fecha en que se ponga fin al procedimiento con arreglo al Índice de Precios al Consumo.","En la fecha en que se inicie el procedimiento con arreglo al Índice de Garantía de la Competitividad.","En la fecha en que se ponga fin al procedimiento con arreglo al Índice de Garantía de la Competitividad.","b","El artículo 34.3 establece que la cuantía de la indemnización se actualizará en la fecha en que se ponga fin al procedimiento con arreglo al Índice de Precios al Consumo."
"Según el art. 34.3 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, ¿de acuerdo con qué norma se exigirán los intereses que procedan por la demora en el pago de la indemnización fijada en los procedimientos de responsabilidad patrimonial?","La Ley 47/2003, de 26 de noviembre, General Presupuestaria, o, en su caso, a las normas presupuestarias de las Comunidades Autónomas.","La Ley 47/2003, de 26 de noviembre, General Presupuestaria.","La Ley 58/2003, de 17 de diciembre, General Tributaria, o, en su caso, a las normas presupuestarias de las Comunidades Autónomas.","La Ley 58/2003, de 17 de diciembre, General Tributaria.","a","El artículo 34.3 establece que los intereses se exigirán de acuerdo con la Ley 47/2003, de 26 de noviembre, General Presupuestaria, o, en su caso, a las normas presupuestarias de las Comunidades Autónomas."
"Según el art. 34.4 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, en los casos de responsabilidad patrimonial la indemnización procedente:","Se sustituirá por una compensación en especie o será abonada mediante pagos periódicos.","Podrá sustituirse por una compensación en especie o ser abonada mediante pagos periódicos.","Se sustituirá por una compensación en especie cuando haya razones imperiosas de interés general.","Será abonada mediante pagos periódicos cuando no exista disponibilidad presupuestaria.","b","El artículo 34.4 establece que la indemnización podrá sustituirse por una compensación en especie o ser abonada mediante pagos periódicos, siempre que exista acuerdo con el interesado."
"Según el art. 34.4 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, en los casos de responsabilidad patrimonial, ¿cuál de los siguientes requisitos es necesario para sustituir la indemnización por una compensación en especie?","Que exista acuerdo con el interesado y se prevea en las normas sectoriales específicas.","Que exista acuerdo con el interesado y no esté prohibido en las normas sectoriales específicas.","Que exista acuerdo con el interesado.","Que exista acuerdo con el interesado y no haya disponibilidad presupuestaria para abonar la indemnización durante el año en curso.","c","El artículo 34.4 establece que para sustituir la indemnización por una compensación en especie es necesario que exista acuerdo con el interesado."
"Según el art. 35 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, cuando las Administraciones Públicas actúen, directamente o a través de una entidad de derecho privado, en relaciones de esta naturaleza:","Su responsabilidad se exigirá de conformidad con lo previsto en los artículos 32 y siguientes, salvo cuando concurra con sujetos de derecho privado.","Su responsabilidad se exigirá de conformidad con el derecho privado.","Su responsabilidad se exigirá de conformidad con lo previsto en los artículos 32 y siguientes, incluso cuando concurra con sujetos de derecho privado.","Su responsabilidad se exigirá de conformidad con el derecho privado cuando concurra con sujetos de derecho privado.","a","El artículo 35 establece que la responsabilidad se exigirá de conformidad con lo previsto en los artículos 32 y siguientes, salvo cuando concurra con sujetos de derecho privado."
"Según el art. 36.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, para exigir responsabilidad patrimonial por los daños y perjuicios causados por las autoridades y personal al servicio de las Administraciones Públicas, los particulares se dirigirán:","Directamente a la Administración Pública correspondiente.","Directamente a las autoridades y personal a su servicio.","Indistintamente a la Administración Pública o a las autoridades y personal a su servicio.","Directamente a las autoridades y personal a su servicio, y subsidiariamente a la Administración Pública.","a","El artículo 36.1 establece que los particulares se dirigirán directamente a la Administración Pública correspondiente para exigir responsabilidad patrimonial."
"Según el art. 36.2 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, la Administración exigirá responsabilidad patrimonial a las autoridades y personal a su servicio:","De oficio en vía administrativa o por vía judicial, previa instrucción del correspondiente procedimiento.","De oficio por vía judicial.","De oficio por vía judicial, previa instrucción del correspondiente procedimiento.","De oficio en vía administrativa, previa instrucción del correspondiente procedimiento.","a","El artículo 36.2 establece que la Administración exigirá responsabilidad de oficio en vía administrativa o por vía judicial, previa instrucción del correspondiente procedimiento."
"¿Cuál de los siguientes criterios de cuantificación de la sanción no se cita en el art. 36.2 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, relativo a la responsabilidad patrimonial de las autoridades y personal al servicio de las Administraciones Públicas?","El resultado dañoso producido.","El grado de culpabilidad.","La responsabilidad profesional del personal al servicio de las Administraciones públicas y su relación con la producción del resultado dañoso.","La reiteración.","d","El artículo 36.2 no menciona la reiteración como criterio de cuantificación de la sanción."
"Según el art. 36 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, ¿cómo debe exigir la Administración la responsabilidad a sus empleados por los daños y perjuicios causados en sus bienes o derechos?","De oficio en vía administrativa, previa instrucción del correspondiente procedimiento.","Mediante resolución que se dictará en el plazo de diez días desde la constatación de los daños y perjuicios.","De oficio en vía administrativa o por vía judicial.","Las respuestas a) y b) son correctas.","a","El artículo 36 establece que la Administración debe exigir la responsabilidad de oficio en vía administrativa, previa instrucción del correspondiente procedimiento."
"Según el art. 36.4 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, el plazo para realizar alegaciones en los procedimientos de responsabilidad patrimonial a las autoridades y al personal al servicio de las Administraciones Públicas es:","De diez días.","De quince días.","No inferior a quince días.","No inferior a diez días.","d","El artículo 36.4 establece que el plazo para realizar alegaciones no será inferior a diez días."
"Según el art. 36.4 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, el plazo para la práctica de pruebas en los procedimientos de responsabilidad patrimonial a las autoridades y al personal al servicio de las Administraciones Públicas es:","De diez días.","No inferior a diez días ni superior a treinta.","Inferior a quince días.","Todas las respuestas son incorrectas.","b","El artículo 36.4 establece que el plazo para la práctica de pruebas no será inferior a diez días ni superior a treinta."
"Según el art. 36.4 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, el plazo de audiencia en los procedimientos de responsabilidad patrimonial a las autoridades y al personal al servicio de las Administraciones Públicas es:","De diez días.","No inferior a diez días.","Inferior a quince días.","Todas las respuestas son incorrectas.","b","El artículo 36.4 establece que el plazo de audiencia no será inferior a diez días."
"Según el art. 36.4 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, en los procedimientos de responsabilidad patrimonial a las autoridades y al personal al servicio de las Administraciones Públicas, la propuesta de resolución se formulará en un plazo de:","Cinco días a contar desde la finalización del trámite de audiencia.","Cinco días a contar desde la conclusión de la fase de prueba.","Diez días a contar desde la finalización del trámite de audiencia.","Diez días a contar desde la conclusión de la fase de prueba.","a","El artículo 36.4 establece que la propuesta de resolución se formulará en un plazo de cinco días desde la finalización del trámite de audiencia."
"Según el art. 36.4 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, el plazo para dictar resolución en los procedimientos de responsabilidad patrimonial a las autoridades y al personal al servicio de las Administraciones Públicas es de:","Cinco días a contar desde la finalización del trámite de audiencia.","Cinco días.","Diez días a contar desde la finalización del trámite de audiencia.","Diez días.","c","El artículo 36.4 establece que el plazo para dictar resolución será de diez días desde la finalización del trámite de audiencia."
"Según el art. 37.2 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, la exigencia de responsabilidad penal del personal al servicio de las Administraciones Públicas:","Suspenderá los procedimientos de reconocimiento de responsabilidad patrimonial que se instruyan.","No suspenderá los procedimientos de reconocimiento de responsabilidad patrimonial que se instruyan, salvo que la determinación de los hechos en el orden jurisdiccional penal sea necesaria para la fijación de la responsabilidad patrimonial.","No suspenderá los procedimientos de reconocimiento de responsabilidad patrimonial que se instruyan.","Suspenderá los procedimientos de reconocimiento de responsabilidad patrimonial que se instruyan, salvo que la determinación de los hechos en el orden jurisdiccional penal sea necesaria para la fijación de la responsabilidad patrimonial.","b","El artículo 37.2 establece que la exigencia de responsabilidad penal no suspenderá los procedimientos de responsabilidad patrimonial, salvo que la determinación de los hechos en el orden jurisdiccional penal sea necesaria para la fijación de la responsabilidad patrimonial."
"Según el art. 64.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, la incoación de un procedimiento de naturaleza sancionadora se comunicará al denunciante:","En ningún caso.","Cuando sea interesado en el procedimiento.","Cuando las normas reguladoras del procedimiento así lo prevean.","Todas las respuestas son incorrectas.","b","El artículo 64.1 establece que la incoación de un procedimiento sancionador se comunicará al denunciante cuando sea interesado en el procedimiento."
"Según el art. 64.2.b) de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el acuerdo de iniciación de los procedimientos de naturaleza sancionadora contendrá:","Los hechos que motivan la incoación del procedimiento.","La posible calificación de los hechos.","Las sanciones que pudieran corresponder.","Todas las respuestas son correctas.","d","El artículo 64.2.b) establece que el acuerdo de iniciación contendrá los hechos, su posible calificación y las sanciones que pudieran corresponder."
"Según el art. 64.2.f) de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, en caso de no efectuar alegaciones en el plazo previsto sobre el contenido del acuerdo de iniciación del procedimiento de naturaleza sancionadora:","Éste podrá ser considerado resolución cuando contenga un pronunciamiento preciso acerca de la responsabilidad imputada.","Éste podrá ser considerado propuesta de resolución cuando no contenga un pronunciamiento preciso acerca de la responsabilidad imputada.","Éste podrá ser considerado resolución cuando no contenga un pronunciamiento preciso acerca de la responsabilidad imputada.","Éste podrá ser considerado propuesta de resolución cuando contenga un pronunciamiento preciso acerca de la responsabilidad imputada.","a","El artículo 64.2.f) establece que el acuerdo de iniciación podrá ser considerado resolución cuando contenga un pronunciamiento preciso acerca de la responsabilidad imputada."
"Según el art. 67.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el derecho a reclamar responsabilidad patrimonial:","Prescribe al año de producido el hecho o el acto que motive la indemnización.","Prescribe al año de producido el hecho o el acto que motive la indemnización o se manifieste su efecto lesivo.","Caduca al año de producido el hecho o el acto que motive la indemnización o se manifieste su efecto lesivo.","Caduca al año de producido el hecho o el acto que motive la indemnización.","b","El artículo 67.1 establece que el derecho a reclamar responsabilidad patrimonial prescribe al año de producido el hecho o el acto que motive la indemnización o se manifieste su efecto lesivo."
"Según el art. 67.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, las solicitudes de responsabilidad patrimonial irán acompañadas de:","Cuantas alegaciones se estimen oportunas.","Cuantas alegaciones, documentos e informaciones se estimen oportunos.","Cuantas alegaciones, documentos e informaciones se estimen oportunos y de la proposición de prueba.","Cuantas alegaciones, documentos e informaciones se estimen oportunos, de la proposición de prueba y del trámite de audiencia.","c","El artículo 67.2 establece que las solicitudes de responsabilidad patrimonial irán acompañadas de alegaciones, documentos, informaciones y la proposición de prueba."
"Según el art. 81.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, en los procedimientos de responsabilidad patrimonial el plazo para la emisión del informe del servicio cuyo funcionamiento haya ocasionado la presunta lesión indemnizable:","No podrá ser inferior a diez días.","No podrá exceder de quince días.","No podrá exceder de diez días.","Será de quince días.","c","El artículo 81.1 establece que el plazo para la emisión del informe no podrá exceder de diez días."
"Según el art. 81.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, en los procedimientos de responsabilidad patrimonial será preceptivo solicitar dictamen del Consejo de Estado o, en su caso, del órgano consultivo de la Comunidad Autónoma cuando las indemnizaciones reclamadas sean:","De cuantía igual o superior a 50.000 euros.","De cuantía igual o superior a 50.000 euros o a la que se establezca en la correspondiente legislación autonómica.","De cuantía igual o superior a 30.000 euros.","De cuantía igual o superior a 30.000 euros o a la que se establezca en la correspondiente legislación autonómica.","d","El artículo 81.2 establece que será preceptivo solicitar dictamen cuando las indemnizaciones sean iguales o superiores a 30.000 euros o a la cuantía establecida en la legislación autonómica."
"Según el art. 81.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el dictamen emitido por el Consejo de Estado en los procedimientos de responsabilidad patrimonial debe pronunciarse sobre:","La existencia o no de relación de causalidad entre el funcionamiento del servicio público y la lesión producida.","En su caso, la valoración del daño causado y la cuantía y modo de la indemnización.","La existencia de negligencia en la actuación administrativa.","Las respuestas a) y b) son correctas.","d","El artículo 81.2 establece que el dictamen debe pronunciarse sobre la existencia de relación de causalidad y, en su caso, sobre la valoración del daño y la cuantía de la indemnización."
"Según el art. 81.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el dictamen emitido por el Consejo de Estado en los procedimientos de responsabilidad patrimonial debe pronunciarse sobre:","La continuidad o persistencia en la conducta infractora.","La existencia o no de relación de causalidad entre el funcionamiento del servicio público y la lesión producida.","El grado de culpabilidad o la existencia de intencionalidad.","La reincidencia.","b","El artículo 81.2 establece que el dictamen debe pronunciarse sobre la existencia de relación de causalidad entre el funcionamiento del servicio público y la lesión producida."
"Según el art. 81.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿cuánto tiempo podrá quedar suspendido el plazo para resolver los procedimientos de responsabilidad patrimonial del Estado por el funcionamiento anormal de la Administración de Justicia?","Un máximo de dos meses.","Un mínimo de dos meses.","Un máximo de un mes.","No se establece ningún plazo de suspensión.","a","El artículo 81.3 establece que el plazo podrá quedar suspendido un máximo de dos meses."
"Según el art. 85.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, la efectividad de las reducciones del importe de la sanción:","Estará condicionada al desistimiento o renuncia de cualquier acción o recurso en vía administrativa contra la sanción.","Estará condicionada al desistimiento o renuncia de cualquier acción o recurso en vía administrativa o judicial contra la sanción.","No estará condicionada al desistimiento o renuncia de cualquier acción o recurso en vía administrativa contra la sanción.","Estará condicionada al desistimiento o renuncia de cualquier acción o recurso en vía judicial contra la sanción.","b","El artículo 85.3 establece que la efectividad de las reducciones del importe de la sanción estará condicionada al desistimiento o renuncia de cualquier acción o recurso en vía administrativa o judicial contra la sanción."
"Según el art. 90.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, la resolución de los procedimientos de carácter sancionador incluirá:","La valoración de las pruebas practicadas, en especial aquellas que constituyan los fundamentos básicos de la decisión.","La valoración de las pruebas que no se han podido practicar.","La valoración de las pruebas practicadas, con excepción de aquellas que constituyan los fundamentos básicos de la decisión.","La valoración de las pruebas practicadas después del trámite de audiencia.","a","El artículo 90.1 establece que la resolución de los procedimientos sancionadores incluirá la valoración de las pruebas practicadas, en especial aquellas que constituyan los fundamentos básicos de la decisión."
"Según el art. 91.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, en los procedimientos de responsabilidad patrimonial será necesario que la resolución se pronuncie sobre:","La valoración del daño causado, cuando proceda.","La cuantía y el modo de la indemnización, cuando proceda.","La existencia o no de la relación de causalidad entre el funcionamiento del servicio público y la lesión producida.","Todas las respuestas son correctas.","d","El artículo 91.2 establece que la resolución en los procedimientos de responsabilidad patrimonial deberá pronunciarse sobre la existencia de relación de causalidad, la valoración del daño y la cuantía y modo de la indemnización, cuando proceda."
