"De acuerdo con el artículo 116 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014, en el expediente de contratación se justificará adecuadamente:","La decisión de dividir en lotes el objeto del contrato.","En los contratos de suministros, el informe de insuficiencia de medios.","El valor estimado del contrato con exclusión de los costes laborales.","La clasificación que se exige a los participantes.","a","El artículo 116 de la Ley 9/2017 establece que en el expediente de contratación se justificará adecuadamente la decisión de dividir en lotes el objeto del contrato."
"Señale la respuesta incorrecta en relación a la mesa de contratación (órgano de asistencia técnica especializada):","Los miembros de la mesa serán nombrados por el órgano de contratación.","La composición de la mesa se publica en el perfil del contratante del órgano de contratación correspondiente.","La mesa lleva a cabo la adjudicación del contrato a favor del licitador que haya presentado la mejor oferta.","La mesa propone sobre la calificación de una oferta como anormalmente baja, previa tramitación del procedimiento a que se refiere el artículo 149 de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público.","c","El artículo 149 de la Ley 9/2017 establece que la mesa no adjudica el contrato, sino que propone la adjudicación al órgano de contratación."
"La Oficina Independiente de Regulación y Supervisión de la Contratación:","Es un órgano unipersonal.","Vela por la correcta interpretación de los pliegos de prescripciones técnicas.","Actúa en el desarrollo de su actividad y el cumplimiento de sus fines con plena independencia orgánica y funcional.","Actúa en el desarrollo de su actividad y el cumplimiento de sus fines dependiendo del Ministerio de Hacienda y Función Pública.","d","El artículo 327 de la Ley 9/2017 establece que la Oficina Independiente de Regulación y Supervisión de la Contratación actúa con plena independencia orgánica y funcional, no dependiendo del Ministerio de Hacienda y Función Pública."
"De acuerdo con la disposición adicional duodécima de la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, por la que se transponen al ordenamiento jurídico español las Directivas del Parlamento Europeo y del Consejo 2014/23/UE y 2014/24/UE, de 26 de febrero de 2014:","Los plazos establecidos por días en esta Ley se entenderán referidos a días hábiles. Si el último día del plazo fuera inhábil, este se entenderá prorrogado al primer día hábil siguiente.","Los plazos establecidos por días en esta Ley se entenderán referidos a días naturales, salvo que en la misma se indique expresamente que solo deben computarse los días hábiles. No obstante, si el último día del plazo fuera inhábil, este se entenderá prorrogado al primer día hábil siguiente.","Los plazos establecidos por días en esta Ley se entenderán referidos a días naturales, salvo que en la misma se indique expresamente que solo deben computarse los días hábiles. No obstante, si el último día del plazo fuera inhábil, este se entenderá prorrogado al primer día natural siguiente.","Los plazos establecidos por días en esta Ley se entenderán referidos a días hábiles, salvo que en la misma se indique expresamente que se computarán los días naturales. No obstante, si el último día del plazo fuera inhábil, este se entenderá prorrogado al primer día hábil siguiente.","b","La disposición adicional duodécima de la Ley 9/2017 establece que los plazos se entienden referidos a días naturales, salvo que se indique expresamente que solo deben computarse los días hábiles, y si el último día es inhábil, se prorroga al primer día hábil siguiente."
"Salvo en los casos en los que el órgano de contratación, por motivos excepcionales, lo considere necesario y así lo justifique motivadamente en el expediente no procederá la exigencia de la garantía definitiva:","En los contratos de servicios.","En los contratos de suministros.","En los contratos de arrendamiento.","En los procedimientos de contratación en los que se aplique la reserva que establece la disposición adicional cuarta de la LCSP.","d","El artículo 220 de la Ley 9/2017 establece que no se exigirá garantía definitiva en los procedimientos de contratación en los que se aplique la reserva de la disposición adicional cuarta."
"La prestación por entidades privadas de servicios públicos destinados a satisfacer necesidades de carácter social, ¿está sometida a la normativa de contratación?", "Sí; se trata de una relación contractual entre la Administración y un empresario, por lo cual está sujeta a la Directiva 24/2004/UE del Parlamento Europeo y del Consejo, de 26 de febrero de 2014, sobre contratación pública, y a la Ley 9/2017, de 30 de noviembre, de contratos del sector público.", "No; la Directiva 2014/24 reconoce a los poderes públicos la libertad para prestar por sí mismos los servicios a las personas, y para organizarlos de forma que no sea necesario subscribir contratos públicos.", "No; estos servicios quedan excluidos de la Ley de contratos del sector público de acuerdo con el artículo 11 y la disposición adicional cuadragésimo novena de esta Ley.", "La satisfacción de necesidades de carácter social puede prestarse mediante un contrato de concesión de servicios o un contrato de servicios, o bien mediante otras fórmulas no contractuales, como el concierto.", "d", "La prestación de servicios sociales puede realizarse mediante contratos de concesión, servicios u otras fórmulas no contractuales como el concierto."
"¿La prestación de servicios sociales por entidades privadas está excluida de la Ley de contratos del sector público?", "Sí, siempre que se lleve a cabo sin necesidad de subscribir contratos públicos, a través de la simple financiación de estos servicios a todas las entidades que cumplan las condiciones previamente fijadas por el poder adjudicador, sin límites ni cuotas, y que el sistema mencionado se ajuste a los principios de transparencia y no discriminación.", "No, la Ley de contratos del sector público regula dos tipos de contratos mediante los cuales se prestan servicios sociales o a las personas: el contrato de servicios y el de concesión de servicios.", "Sí, siempre que se lleve a cabo a través de concesión de licencias o autorizaciones a todas las entidades que cumplan las condiciones previamente fijadas por la Ley sin límites ni cuantías.", "Sí, siempre que se lleve a cabo sin necesidad de subscribir contratos públicos, a través, entre otros medios, de la simple financiación de estos servicios o la concesión de licencias o autorizaciones a todas las entidades que cumplan las condiciones que el poder adjudicador haya fijado previamente, sin límites ni cuotas, y que el sistema mencionado garantice una publicidad suficiente y se ajuste a los principios de transparencia y no-discriminación.", "d", "La prestación de servicios sociales por entidades privadas está excluida de la Ley de contratos del sector público si se realiza sin contratos públicos y se ajusta a principios de transparencia y no discriminación."
"¿Puede gestionarse un servicio público mediante un contrato de servicios de los regulados en la Ley de contratos del sector público?", "En ningún caso.", "Sólo puede gestionarse un servicio público mediante un contrato de concesión de servicios.", "Sí, mediante un contrato de servicios que comporten prestaciones directas a favor de la ciudadanía.", "No, los contratos de servicios son aquellos que se prestan directamente a la Administración contratante.", "c", "Un servicio público puede gestionarse mediante un contrato de servicios que comporte prestaciones directas a la ciudadanía."
"De acuerdo con la Ley de contratos del sector público, la duración de un contrato de servicios a las personas puede ser:", "En todo caso, de cinco años como máximo.", "Más de cinco años cuando sea necesario para la continuidad de aquellos tratamientos a los usuarios en que el cambio del prestador pueda repercutir negativamente.", "Más de tres años cuando sea necesario para la continuidad de aquellos tratamientos a los usuarios en que el cambio del prestador pueda repercutir negativamente.", "Diez años, como máximo.", "b", "La duración de un contrato de servicios a las personas puede superar los cinco años si es necesario para la continuidad del tratamiento."
"De acuerdo con la Ley de contratos del sector público, ¿qué prescripciones han de cumplirse para contratar un servicio que comporte prestaciones directas a favor de la ciudadanía?", "Debe haberse establecido el régimen jurídico, que determine el alcance de las prestaciones en favor de los administrados y regule los aspectos de carácter jurídico, económico y administrativo relativos a la prestación del servicio.", "Debe haberse establecido el régimen jurídico, que declare expresamente que la actividad de que se trata queda asumida por la Administración como propia, y regule los aspectos de carácter jurídico, económico y administrativo relativos a la prestación del servicio.", "Debe haberse establecido el régimen jurídico, que declare expresamente que la actividad de que se trata queda asumida por la Administración respectiva como propia de aquella, que determine el alcance de las prestaciones a favor de los administrados y que regule los aspectos de carácter jurídico, económico y administrativo relativos a la prestación del servicio.", "Debe haberse establecido el régimen jurídico, que declare expresamente que la actividad de que se trata queda asumida por la Administración respectiva como propia de aquella, determine el alcance de las prestaciones en favor de los administrados y regule los aspectos de carácter jurídico y económico relativos a la prestación del servicio.", "c", "El régimen jurídico debe declarar que la actividad es asumida por la Administración como propia, determinar el alcance de las prestaciones y regular aspectos jurídicos, económicos y administrativos."
"¿En qué casos la Administración puede acordar el secuestro o la intervención del servicio público gestionado por un contratista de un servicio de prestaciones directas a favor de la ciudadanía?", "Cuando por causas ajenas al contratista se derive una perturbación grave y no reparable por otros medios en el servicio.", "Cuando a causa del incumplimiento por parte del contratista se derive una perturbación grave y no reparable por otros medios en el servicio y la Administración no decide resolver el contrato.", "Cuando por causas ajenas al concesionario se derive una perturbación muy grave y no reparable por otros medios en el servicio y la Administración no decide resolver el contrato.", "El secuestro es aplicable a las concesiones, no al contrato de servicios que comporten prestaciones directas a favor de la ciudadanía.", "b", "La Administración puede intervenir el servicio si el contratista incumple y causa una perturbación grave no reparable por otros medios."
"¿Es posible que una administración que ha de licitar un contrato para la prestación de determinados servicios sociales reserve la participación en la licitación a ciertas organizaciones?", "No, esto supondría una vulneración del principio de libre concurrencia establecido en la Ley de contratos del sector público y las directivas comunitarias sobre contratación.", "Sí, la Ley de contratos del sector público lo permite.", "No, porque lo prohíbe la Directiva 2014/23/UE del Parlamento Europeo y del Consejo, de 26 de febrero de 2014, relativa a la adjudicación de contratos de concesión.", "No, porque lo prohíbe la Directiva 2014/24/UE del Parlamento Europeo y del Consejo, de 26 de febrero de 2014, sobre contratación pública.", "b", "La Ley de contratos del sector público permite reservar la participación en licitaciones a ciertas organizaciones en casos específicos."
"La Ley de contratos del sector público permite que los órganos de contratación de los poderes adjudicadores puedan reservar a determinadas organizaciones el derecho a participar en los procedimientos de licitación de ciertos contratos de carácter social. Indica cuál de los siguientes son requisitos que han de concurrir en estas organizaciones para poder participar en las licitaciones:", "Que el objetivo de la organización sea la realización de una misión de servicio público vinculada a la prestación de los servicios que se han de contratar.", "Que las estructuras de dirección o propiedad de la organización que ejecute el contrato se basen en la propiedad de los empleados o en principios de participación, o exijan la participación activa de los empleados, los usuarios o las partes interesadas.", "Que las estructuras de dirección o propiedad de la organización que ejecute el contrato se basen en la propiedad de los empleados o de los accionistas o en principios de participación, o exijan la participación activa de los usuarios o las partes interesadas.", "Las respuestas a) y b) son correctas.", "d", "Las organizaciones deben cumplir con los requisitos de tener una misión de servicio público y estructuras de participación activa."
"De acuerdo con la Ley de contratos del sector público, ¿cuál es la duración máxima de un contrato para la prestación de servicios sociales que se haya reservado a determinadas organizaciones?", "Cinco años.", "Diez años.", "Tres años.", "Dos años, prorrogables por dos años más.", "a", "La duración máxima de un contrato de servicios sociales reservado a ciertas organizaciones es de cinco años."
"De acuerdo con el artículo 284 de la Ley 9/2017, de 8 de noviembre, de contratos del sector público:", "La Administración puede gestionar directamente, mediante contrato de concesión de servicios, los servicios de su titularidad o competencia siempre que sean susceptibles de explotación económica por particulares.", "La Administración puede gestionar indirectamente, mediante contrato de concesión de servicios, los servicios de su titularidad o competencia a pesar de que no sean susceptibles de explotación económica por particulares.", "La Administración puede gestionar directamente, mediante contrato de concesión de servicios, los servicios de su titularidad o competencia a pesar de que no sean susceptibles de explotación económica por particulares.", "La Administración puede gestionar indirectamente, mediante contrato de concesión de servicios, los servicios de su titularidad o competencia siempre que sean susceptibles de explotación económica por particulares.", "d", "La gestión indirecta mediante concesión de servicios requiere que el servicio sea susceptible de explotación económica por particulares."
"Señala la respuesta correcta en cuanto a la posibilidad de gestionar un servicio público mediante un contrato de concesión de servicios:", "La Ley de contratos del sector público permite la gestión indirecta de un servicio público mediante un contrato de concesión de servicios incluso si el servicio implica ejercicio de la autoridad inherente a los poderes públicos.", "Los servicios públicos no pueden ser objeto de concesión.", "Puede gestionarse un servicio público mediante concesión siempre que el servicio sea susceptible de explotación económica por parte de particulares.", "Puede gestionarse el servicio público mediante concesión, siempre que no implique la construcción de una obra, caso en que se tiene que calificar de concesión de obra.", "c", "Un servicio público puede gestionarse mediante concesión si es susceptible de explotación económica por particulares."
"¿En qué caso puede adjudicarse directamente un contrato de concesión de un servicio público?:", "La Ley de contratos del sector público no permite la adjudicación directa de un contrato de concesión.", "En el supuesto de que el adjudicatario sea una sociedad de economía mixta en la que concurra capital público mayoritariamente con capital privado.", "La Ley de contratos del sector público permite la adjudicación directa de un contrato de concesión a una sociedad de economía mixta, siempre que no se trate de la concesión de un servicio público.", "Ninguna de las respuestas anteriores es correcta.", "b", "La adjudicación directa de un contrato de concesión es posible si el adjudicatario es una sociedad de economía mixta con capital público mayoritario."
"De acuerdo con la Ley 9/2017, de 8 de noviembre, de contratos del sector público, ¿cuáles son los requisitos que han de cumplirse previamente a la contratación de la concesión de un servicio público?", "Debe establecerse el régimen jurídico, determinar el alcance de las prestaciones en favor de los administrados y regular los aspectos de carácter jurídico, económico y administrativo relativos a la prestación del servicio.", "Debe establecerse el régimen jurídico, declarar expresamente que la actividad de que se trata queda asumida por la Administración como propia, y regular los aspectos de carácter jurídico, económico y administrativo relativos a la prestación del servicio.", "Debe establecerse el régimen jurídico, declarar expresamente que la actividad de que se trata queda asumida por la Administración como propia, determinar el alcance de las prestaciones en favor de los administrados y regular los aspectos de carácter jurídico, económico y administrativo relativos a la prestación del servicio.", "Debe establecerse el régimen jurídico, declarar expresamente que la actividad de que se trata queda asumida por la Administración como propia, determinar el alcance de las prestaciones en favor de los administrados y regular los aspectos de carácter jurídico y económico relativos a la prestación del servicio.", "c", "El régimen jurídico debe declarar que la actividad es asumida por la Administración como propia, determinar el alcance de las prestaciones y regular aspectos jurídicos, económicos y administrativos."
"La asunción del riesgo operacional como elemento distintivo del contrato de concesión de servicios, supone:", "Que no está garantizado que, en condiciones normales de funcionamiento, el contratista recupere las inversiones realizadas.", "Que no está garantizado que, en condiciones anormales de funcionamiento, el contratista recupere las inversiones realizadas.", "Que no está garantizado que, en condiciones normales de funcionamiento, el contratista cubra los costes en qué haya incurrido como consecuencia de la explotación del servicio que sea objeto de concesión, a pesar de que tenga derecho a ser indemnizado por la Administración en el caso de pérdidas.", "Las respuestas a) y c) son correctas.", "d", "El riesgo operacional implica que el contratista no tiene garantizada la recuperación de inversiones o costes en condiciones normales."
"El contrato de concesión de servicios:", "Supone la gestión directa de un servicio público por parte de la Administración mediante un empresario intermediario.", "Puede suponer la gestión indirecta de un servicio público.", "Supone siempre la gestión indirecta de un servicio público.", "No puede gestionar en ningún caso un servicio que implique ejercicio de la autoridad inherente a los poderes públicos, salvo que lo autorice una ley.", "b", "El contrato de concesión de servicios puede suponer la gestión indirecta de un servicio público."
"¿Cuál puede ser la duración máxima de un contrato de concesión de servicios cuando el objeto es la gestión de un servicio público?", "Cuarenta años, si comprende la ejecución de obras y la explotación de servicio.", "Veinticinco años, en el supuesto de que comprenda la explotación de un servicio no relacionado con la prestación de servicios sanitarios.", "Diez años, si comprende la explotación de un servicio cuyo objeto consista en la prestación de servicios sanitarios siempre que no incluya la ejecución de obras.", "Todas las respuestas anteriores son correctas.", "d", "La duración máxima de un contrato de concesión de servicios varía según el tipo de servicio y si incluye obras."
"Cuando el contrato de concesión de servicios recae sobre un servicio público:", "La Administración conserva los poderes de policía necesarios para asegurar la buena marcha de los servicios de que se trate.", "El concesionario tiene la facultad de oponerse a las instrucciones de la Administración, dado que asume el riesgo operacional.", "Las instalaciones fijas necesarias para la prestación del servicio no pueden ser objeto de hipoteca.", "El contrato no se puede modificar.", "a", "La Administración conserva los poderes de policía para asegurar el buen funcionamiento del servicio."
"¿Cuál es la diferencia más significativa entre un contrato de concesión de servicios y un contrato de servicios que comporte prestaciones directas a favor de la ciudadanía, cuando se gestiona en ambos casos un servicio público?", "No hay ninguna diferencia entre uno y otro contrato.", "La diferencia más significativa es la duración del contrato.", "La diferencia más significativa es la traslación del riesgo operacional al concesionario en el contrato de concesión.", "La diferencia más significativa recae en el objeto del contrato.", "c", "La principal diferencia es la traslación del riesgo operacional al concesionario en el contrato de concesión."
"Indica cuál de las siguientes opciones no es una obligación del concesionario de servicios:", "Indemnizar los daños que se causen a terceros como consecuencia de las operaciones que requiera el desarrollo del servicio, incluso cuando el daño se produzca por causas imputables a la Administración.", "Prestar el servicio con la continuidad convenida y garantizar a los particulares el derecho a utilizarlo en las condiciones que se hayan establecido.", "Continuar con la prestación del servicio a la finalización del contrato hasta que se formalice uno nuevo.", "Cuidar del buen orden del servicio, para lo cual podrá dictar las instrucciones oportunas.", "c", "El concesionario no está obligado a continuar la prestación del servicio tras la finalización del contrato."
"¿Cuál de las siguientes son causas de resolución de una concesión de servicios?", "La intervención de la concesión por un plazo superior a dos años sin que el concesionario haya garantizado la asunción completa de sus obligaciones.", "El rescate.", "La demora superior a tres meses por parte de la Administración en la entrega al concesionario de los medios auxiliares a que se obligó según el contrato.", "La demora en el cumplimiento de los plazos por parte del contratista.", "b", "El rescate es una causa de resolución de una concesión de servicios."
"¿Qué significa la reversión en el contrato de concesión de un servicio público?", "Que los bienes afectos a la concesión que tengan que revertir a la Administración pueden ser objeto de embargo.", "Que el servicio pasa a manos de la Administración una vez finalizado el plazo de la concesión.", "La resolución del contrato.", "Ninguna de las respuestas anteriores es correcta.", "b", "La reversión implica que el servicio pasa a manos de la Administración al finalizar la concesión."
"¿En qué casos la Administración puede acordar el secuestro o la intervención del servicio público gestionado por un concesionario?", "Cuando por causas ajenas al concesionario se derive una perturbación grave y no reparable por otros medios en el servicio.", "Cuando a causa del incumplimiento por parte del concesionario se derive una perturbación grave y no reparable por otros medios en el servicio.", "Cuando por causas ajenas al concesionario se derive una perturbación muy grave y no reparable por otros medios en el servicio.", "Las respuestas a) y b) son correctas.", "d", "La Administración puede intervenir el servicio si el concesionario incumple o si hay una perturbación grave no reparable."
